"Entity","Region","Ownership","Deal Type","Level 4","Trade ID","Trade Description","CounterParty","Broker","Deal Type","Trade Type","Trade Date","Effective Date","Expiry Date","Has Unwinds","Option/Commitment Type","Barrier Type","Buy/Sell - 1","Pay/Receive - 1","Option Type / Interest Type - 1","Price Index - 1","Future","Number Of Contracts","Ccy1","Notional1","Unit - 1","Current Period IR Rate1","Current Period IR Spread1 bps","Strike","Buy/Sell - 2","Pay/Receive - 2","Option Type / Interest Type-2","Price Index - 2","Ccy2","Notional2","Available Balance to Draw","Unit - 2","Current Period IR Rate2","Current Period IR Spread2 bps","Original Tenor","Current Tenor","Proceeds","Debt Instrument","Trade Discount Rate","Trade Yield","Trade Price","Cpty Trade Id","Alternate Trade Id","Trade Group","Asset Class","Current Version","Trade In Link","Linked Proportion","Linked Notional Amount"
"C-22026-CDTRANSFAR","China","China Portfolio","Project Finance","22026 C-Chengdu Transfar LB BOComm 440million facility","3465","2 YR  FIXED RATE LOAN: PAY 6.22250% CNY  207.0 M  REPAY: SCHEDULE  MAT: 19-JUN-2015","3-C-BCOM CHENGDU PIXIAN","","Actual","Loan","2013-06-19","2013-06-19","2021-12-20","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-71100000","","0.046550000","","","","","","","","","","","","","3106","908","207000000.0000","Interest-Bearing","0.00000000000000","0.06023307210000","1.00000000000000","","Chendu Transfar","PROJECT FINANCING","Interest Rate","19","No","0.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 600million facility","3474","3 YR  FIXED RATE LOAN: PAY 6.34500% CNY  527.0 M  REPAY: SCHEDULE  MAT: 26-DEC-2014","3-C-EXIM SHANGHAI","","Actual","Loan","2011-12-26","2011-12-26","2024-12-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-284000000","","0.048600000","","","","","","","","","","","","","4744","2005","527000000.0000","Interest-Bearing","0.00000000000000","0.05441444880000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","10","No","0.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 600million facility","3475","2.5 YR  FIXED RATE LOAN: PAY 6.34500% CNY    3.0 M  REPAY: SCHEDULE  MAT: 26-NOV-2014","3-C-EXIM SHANGHAI","","Actual","Loan","2012-05-25","2012-05-25","2024-12-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-3000000","","0.044100000","","","","","","","","","","","","","4593","2005","3000000.0000","Interest-Bearing","0.00000000000000","0.05462050310000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","9","No","0.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 600million facility","3476","2.5 YR  FIXED RATE LOAN: PAY 6.12000% CNY   30.0 M  REPAY: SCHEDULE  MAT: 27-DEC-2014","3-C-EXIM SHANGHAI","","Actual","Loan","2012-06-27","2012-06-27","2025-06-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-30000000","","0.048600000","","","","","","","","","","","","","4742","2187","30000000.0000","Interest-Bearing","0.00000000000000","0.05517236430000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","9","No","0.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 600million facility","3477","125 DAY  FIXED RATE LOAN: PAY 6.12000% CNY   26.0 M  REPAY: SCHEDULE  MAT: 26-DEC-2012","3-C-EXIM SHANGHAI","","Actual","Loan","2012-08-23","2012-08-23","2025-12-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-26000000","","0.044100000","","","","","","","","","","","","","4868","2370","26000000.0000","Interest-Bearing","0.00000000000000","0.06149798010000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","10","No","0.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 600million facility","3478","2.3 YR  FIXED RATE LOAN: PAY 5.89500% CNY   14.0 M  REPAY: SCHEDULE  MAT: 26-DEC-2014","3-C-EXIM SHANGHAI","","Actual","Loan","2012-09-26","2012-09-26","2025-12-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-14000000","","0.048600000","","","","","","","","","","","","","4834","2370","14000000.0000","Interest-Bearing","0.00000000000000","0.05609294850000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","10","No","0.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 300million facility","3482","2 YR  FIXED RATE LOAN: PAY 5.89500% CNY   60.0 M  REPAY: SCHEDULE  MAT: 05-JAN-2015","3-C-EXIM SHANGHAI","","Actual","Loan","2013-01-04","2013-01-04","2020-12-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-35500000","","0.048600000","","","","","","","","","","","","","2908","544","60000000.0000","Interest-Bearing","0.00000000000000","0.05647356810000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","9","No","0.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 300million facility","3483","1.8 YR  FIXED RATE LOAN: PAY 5.89500% CNY    5.0 M  REPAY: SCHEDULE  MAT: 19-DEC-2014","3-C-EXIM SHANGHAI","","Actual","Loan","2013-03-19","2013-03-19","2020-12-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-5000000","","0.048600000","","","","","","","","","","","","","2834","544","5000000.0000","Interest-Bearing","0.00000000000000","0.05686540910000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","9","No","0.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 300million facility","3484","1.5 YR  FIXED RATE LOAN: PAY 5.89500% CNY    7.0 M  REPAY: SCHEDULE  MAT: 18-DEC-2014","3-C-EXIM SHANGHAI","","Actual","Loan","2013-06-18","2013-06-18","2021-06-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-7000000","","0.048600000","","","","","","","","","","","","","2925","726","7000000.0000","Interest-Bearing","0.00000000000000","0.05726892510000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","9","No","0.000000000000000","0.0000"
"CU-23003-SHENZHEN","China","China Portfolio","Project Finance","23003 C-Shenzhen GLP-Yantian Port L CCB 150million facility","3492","1.8 YR  FIXED RATE LOAN: PAY 6.55000% CNY  150.0 M  REPAY: SCHEDULE  MAT: 24-NOV-2014","3-C-CCB SHATOUJIAO","","Actual","Loan","2013-01-18","2013-01-18","2022-12-20","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-76000000","","0.061500000","","","","","","","","","","","","","3623","1273","150000000.0000","Interest-Bearing","0.00000000000000","0.06549532010000","1.00000000000000","","Yantian","PROJECT FINANCING","Interest Rate","16","No","0.000000000000000","0.0000"
"JU-LIGHT YEAR TMK","Japan","Japan Portfolio","Non-recourse loan","","5957","8.3 YR FLOATING RATE LOAN: PAY 3M TIBOR +65 bp JPY 16947.4 M REPAY: SCHEDULE MAT: 08-FEB-2022","2-J-SUMITOMO M BANKING","","Actual","Loan","2013-11-08","2013-11-08","2022-02-08","Yes","Asset/Liability","","","Pay","Floating","TIBOR","","","JPY","-16320437500","","0.000690900","0.0065000000","","","","","","","","","","","","3014","958","16947393500.0000","Interest-Bearing","0.00000000000000","0.00713778000000","1.00000000000000","","JCE","SYNDICATED NON RECOURSE LOAN","Interest Rate","37","Yes","1.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 300million facility","6189","1.3 YR  FIXED RATE LOAN: PAY 5.89500% CNY    8.0 M  REPAY: SCHEDULE  MAT: 22-DEC-2014","3-C-EXIM SHANGHAI","","Actual","Loan","2013-09-22","2013-09-22","2021-12-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-8000000","","0.048600000","","","","","","","","","","","","","3012","909","8000000.0000","Interest-Bearing","0.00000000000000","0.05768008520000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","9","No","0.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 300million facility","6192","1.3 YR  FIXED RATE LOAN: PAY 5.89500% CNY   52.0 M  REPAY: SCHEDULE  MAT: 12-JAN-2015","3-C-EXIM SHANGHAI","","Actual","Loan","2013-10-10","2013-10-10","2023-06-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-52000000","","0.048600000","","","","","","","","","","","","","3541","1456","52000000.0000","Interest-Bearing","0.00000000000000","0.04646711080000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","9","No","0.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 300million facility","6198","1.3 YR  FIXED RATE LOAN: PAY 5.89500% CNY   12.0 M  REPAY: SCHEDULE  MAT: 09-FEB-2015","3-C-EXIM SHANGHAI","","Actual","Loan","2013-11-08","2013-11-08","2023-12-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-12000000","","0.044100000","","","","","","","","","","","","","3695","1639","12000000.0000","Interest-Bearing","0.00000000000000","0.05767106400000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","8","No","0.000000000000000","0.0000"
"C-22017-SUZHOU HI-TECH LF","China","China Portfolio","Project Finance","22017 C-Suzhou Hi-Tech LF CCB 80million facility","6590","1 YR  FIXED RATE LOAN: PAY 6.22250% CNY   15.0 M  REPAY: SCHEDULE  MAT: 26-JAN-2015","3-C-CCB SUZHOU","","Actual","Loan","2014-01-24","2014-01-24","2022-06-30","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-15000000","","0.046550000","","","","","","","","","","","","","3079","1100","15000000.0000","Interest-Bearing","0.00000000000000","0.06126314130000","1.00000000000000","","Suzhou Hi-Tech","PROJECT FINANCING","Interest Rate","6","No","0.000000000000000","0.0000"
"CU-23002-SHLINGADEV","China","China Portfolio","Project Finance","23002 CU-Shanghai Lingang GLP Intl LDev EXIM 300million facility","6591","1 YR  FIXED RATE LOAN: PAY 5.89500% CNY   59.0 M  REPAY: SCHEDULE  MAT: 08-JAN-2015","3-C-EXIM SHANGHAI","","Actual","Loan","2014-01-08","2014-01-08","2025-12-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-59000000","","0.048600000","","","","","","","","","","","","","4365","2370","59000000.0000","Interest-Bearing","0.00000000000000","0.05809453750000","1.00000000000000","","Lingang","PROJECT FINANCING","Interest Rate","7","No","0.000000000000000","0.0000"
"C-23017-SYGGOLDFOO","China","China Portfolio","Project Finance","23017 C-SYGGOLDFOO BOComm 200million facility","6900","1.6 YR  FIXED RATE LOAN: PAY 6.55000% CNY   10.5 M  REPAY: SCHEDULE  MAT: 11-MAY-2015","3-C-BCOM SHENYANG NORTH S","","Actual","Loan","2013-09-27","2013-09-27","2020-07-15","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-4100000","","0.056500000","","","","","","","","","","","","","2483","385","10500000.0000","Interest-Bearing","0.00000000000000","0.06467241190000","1.00000000000000","","Shenxi","PROJECT FINANCING","Interest Rate","9","No","0.000000000000000","0.0000"
"CLF-21084-ZHANGJIAGANG WA","China","China Portfolio","Project Finance","21084 CLF-Zhangjiagang WA CMB 37million facility","6950","2 YR  FIXED RATE LOAN: PAY 6.55000% CNY   27.8 M  REPAY: SCHEDULE  MAT: 27-JAN-2016","3-C-CMB ZHANGJIAGANG GULO","","Actual","Loan","2014-01-27","2014-01-27","2024-01-23","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-16476562.5","","0.049000000","","","","","","","","","","","","","3648","1672","27750000.0000","Interest-Bearing","0.00000000000000","0.06440250290000","1.00000000000000","","Zhangjiagang","PROJECT FINANCING","Interest Rate","6","No","0.000000000000000","0.0000"
"C-23018-XIANSCTECH","China","China Portfolio","Project Finance","23018 C-I-Park Xi An Science and Tech BOComm 285million facility","6951","2 YR  FIXED RATE LOAN: PAY 6.22250% CNY   10.9 M  REPAY: SCHEDULE  MAT: 28-OCT-2015","3-C-BCOM XIAN CHENGXI","","Actual","Loan","2013-10-28","2013-10-28","2021-08-11","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-5553000","","0.046550000","","","","","","","","","","","","","2844","777","10900000.0000","Interest-Bearing","0.00000000000000","0.06190038580000","1.00000000000000","","Xi an","PROJECT FINANCING","Interest Rate","6","No","0.000000000000000","0.0000"
"C-23018-XIANSCTECH","China","China Portfolio","Project Finance","23018 C-I-Park Xi An Science and Tech BOComm 285million facility","6952","2 YR  FIXED RATE LOAN: PAY 6.22250% CNY   19.7 M  REPAY: SCHEDULE  MAT: 08-NOV-2015","3-C-BCOM XIAN CHENGXI","","Actual","Loan","2013-11-08","2013-11-08","2021-08-11","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-9958000","","0.046550000","","","","","","","","","","","","","2833","777","19700000.0000","Interest-Bearing","0.00000000000000","0.06189225370000","1.00000000000000","","Xi an","PROJECT FINANCING","Interest Rate","7","No","0.000000000000000","0.0000"
"C-23018-XIANSCTECH","China","China Portfolio","Project Finance","23018 C-I-Park Xi An Science and Tech BOComm 285million facility","6953","1 YR  FIXED RATE LOAN: PAY 6.22250% CNY   20.6 M  REPAY: SCHEDULE  MAT: 22-NOV-2014","3-C-BCOM XIAN CHENGXI","","Actual","Loan","2013-11-22","2013-11-22","2021-08-11","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-10473400","","0.046550000","","","","","","","","","","","","","2819","777","20600000.0000","Interest-Bearing","0.00000000000000","0.06156489770000","1.00000000000000","","Xi an","PROJECT FINANCING","Interest Rate","7","No","0.000000000000000","0.0000"
"C-23018-XIANSCTECH","China","China Portfolio","Project Finance","23018 C-I-Park Xi An Science and Tech BOComm 285million facility","6954","1 YR  FIXED RATE LOAN: PAY 6.22250% CNY   41.7 M  REPAY: SCHEDULE  MAT: 12-DEC-2014","3-C-BCOM XIAN CHENGXI","","Actual","Loan","2013-12-12","2013-12-12","2021-08-11","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-21209000","","0.046550000","","","","","","","","","","","","","2799","777","41700000.0000","Interest-Bearing","0.00000000000000","0.06190068300000","1.00000000000000","","Xi an","PROJECT FINANCING","Interest Rate","7","No","0.000000000000000","0.0000"
"C-23018-XIANSCTECH","China","China Portfolio","Project Finance","23018 C-I-Park Xi An Science and Tech BOComm 285million facility","6955","1 YR  FIXED RATE LOAN: PAY 6.22250% CNY   22.1 M  REPAY: SCHEDULE  MAT: 14-JAN-2015","3-C-BCOM XIAN CHENGXI","","Actual","Loan","2014-01-14","2014-01-14","2021-08-11","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-11236107","","0.046550000","","","","","","","","","","","","","2766","777","22100000.0000","Interest-Bearing","0.00000000000000","0.06190027020000","1.00000000000000","","Xi an","PROJECT FINANCING","Interest Rate","9","No","0.000000000000000","0.0000"
"C-22011-AIRPORT CITY DEV","China","China Portfolio","Project Finance","22011 C-Airport City Dev ICBC 1300million facility","6958","9.9 YR  FIXED RATE LOAN: PAY 5.89500% CNY   82.6 M  REPAY: SCHEDULE  MAT: 26-JUN-2023","3-C-ICBC TIANZU","","Actual","Loan","2013-07-25","2013-07-25","2023-06-24","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-63521860.3","","0.058950000","","","","","","","","","","","","","3621","1459","82595552.1800","Interest-Bearing","0.00000000000000","0.05894567170000","1.00000000000000","","ACL","PROJECT FINANCING","Interest Rate","7","No","0.000000000000000","0.0000"
"C-22011-AIRPORT CITY DEV","China","China Portfolio","Project Finance","22011 C-Airport City Dev ICBC 1300million facility","6959","9.8 YR  FIXED RATE LOAN: PAY 5.89500% CNY    9.0 M  REPAY: SCHEDULE  MAT: 26-JUN-2023","3-C-ICBC TIANZU","","Actual","Loan","2013-08-28","2013-08-28","2023-06-24","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-6958437.8","","0.058950000","","","","","","","","","","","","","3587","1459","9047846.1000","Interest-Bearing","0.00000000000000","0.05894762170000","1.00000000000000","","ACL","PROJECT FINANCING","Interest Rate","9","No","0.000000000000000","0.0000"
"C-22011-AIRPORT CITY DEV","China","China Portfolio","Project Finance","22011 C-Airport City Dev ICBC 1300million facility","6960","9.8 YR  FIXED RATE LOAN: PAY 5.89500% CNY   15.7 M  REPAY: SCHEDULE  MAT: 26-JUN-2023","3-C-ICBC TIANZU","","Actual","Loan","2013-09-25","2013-09-25","2023-06-24","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-12084984.93","","0.058950000","","","","","","","","","","","","","3559","1459","15713740.0800","Interest-Bearing","0.00000000000000","0.05894976440000","1.00000000000000","","ACL","PROJECT FINANCING","Interest Rate","7","No","0.000000000000000","0.0000"
"C-22011-AIRPORT CITY DEV","China","China Portfolio","Project Finance","22011 C-Airport City Dev ICBC 1300million facility","6961","9.7 YR  FIXED RATE LOAN: PAY 5.89500% CNY   21.0 M  REPAY: SCHEDULE  MAT: 26-JUN-2023","3-C-ICBC TIANZU","","Actual","Loan","2013-10-30","2013-10-30","2023-06-24","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-16169692.25","","0.058950000","","","","","","","","","","","","","3524","1459","21024961.3400","Interest-Bearing","0.00000000000000","0.05895414290000","1.00000000000000","","ACL","PROJECT FINANCING","Interest Rate","7","No","0.000000000000000","0.0000"
"C-22011-AIRPORT CITY DEV","China","China Portfolio","Project Finance","22011 C-Airport City Dev ICBC 1300million facility","6962","9.6 YR  FIXED RATE LOAN: PAY 5.89500% CNY   14.4 M  REPAY: SCHEDULE  MAT: 26-JUN-2023","3-C-ICBC TIANZU","","Actual","Loan","2013-11-27","2013-11-27","2023-06-24","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-11095448.39","","0.058950000","","","","","","","","","","","","","3496","1459","14427075.6900","Interest-Bearing","0.00000000000000","0.05895599790000","1.00000000000000","","ACL","PROJECT FINANCING","Interest Rate","7","No","0.000000000000000","0.0000"
"C-22011-AIRPORT CITY DEV","China","China Portfolio","Project Finance","22011 C-Airport City Dev ICBC 1300million facility","6963","9.5 YR  FIXED RATE LOAN: PAY 5.89500% CNY   23.3 M  REPAY: SCHEDULE  MAT: 26-JUN-2023","3-C-ICBC TIANZU","","Actual","Loan","2013-12-09","2013-12-09","2023-06-24","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-17948889.09","","0.058950000","","","","","","","","","","","","","3484","1459","23338397.2000","Interest-Bearing","0.00000000000000","0.05894260620000","1.00000000000000","","ACL","PROJECT FINANCING","Interest Rate","7","No","0.000000000000000","0.0000"
"C-22011-AIRPORT CITY DEV","China","China Portfolio","Project Finance","22011 C-Airport City Dev ICBC 1300million facility","6964","1.5 YR  FIXED RATE LOAN: PAY 5.89500% CNY   17.0 M  REPAY: SCHEDULE  MAT: 29-SEP-2015","3-C-ICBC TIANZU","","Actual","Loan","2014-03-25","2014-03-25","2023-06-24","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-13287959.04","","0.044100000","","","","","","","","","","","","","3378","1459","16963786.7500","Interest-Bearing","0.00000000000000","0.05894491610000","1.00000000000000","","ACL","PROJECT FINANCING","Interest Rate","12","No","0.000000000000000","0.0000"
"CU-23003-SHENZHEN","China","China Portfolio","Project Finance","23003 C-Shenzhen GLP-Yantian Port L CCB 130.32million facility","6965","1.4 YR  FIXED RATE LOAN: PAY 6.55000% CNY   15.6 M  REPAY: SCHEDULE  MAT: 24-NOV-2014","3-C-CCB SHATOUJIAO","","Actual","Loan","2013-07-01","2013-07-01","2021-02-04","No","Asset/Liability","","","Pay","Fixed","","","","CNY","0","","0.061500000","","","","","","","","","","","","","2775","589","15630000.0000","Interest-Bearing","0.00000000000000","0.06549847990000","1.00000000000000","","","PROJECT FINANCING","Interest Rate","8","No","0.000000000000000","0.0000"
