Statement Date,Branch Name,Branch Number,Account Number,Account Currency,Opening Available Balance,Current/Closing Available Balance,Opening Ledger Balance,Current/Closing Ledger Balance,Account Name,Account Type,Customer Name,Customer Number,Last Entry Date,IBAN Number,Calculated Balances,Overdraft Amount
19/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,205,341.42","100,265,424.42","100,205,341.42","100,265,424.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
20/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,265,424.42","100,265,425.42","100,265,424.42","100,265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
21/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,265,425.42","100,265,425.42","100,265,425.42","100,265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
22/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,265,425.42","100,265,425.42","100,265,425.42","100,265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
23/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,265,425.42","100,265,425.42","100,265,425.42","100,265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
25/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,265,425.42","265,425.42","100,265,425.42","265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
26/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"265,425.42","265,425.42","265,425.42","265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
27/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"265,425.42","265,425.42","265,425.42","265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
28/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"265,425.42","265,425.42","265,425.42","265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
29/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"265,425.42","63,691,661.58","265,425.42","63,691,661.58",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
30/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"63,691,661.58","90,137,830.58","63,691,661.58","90,287,614.96",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
1/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"90,137,830.58","40,287,614.96","90,287,614.96","40,287,614.96",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
2/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"40,287,614.96","40,277,594.13","40,287,614.96","40,277,594.13",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
3/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"40,277,594.13","45,942,216.54","40,277,594.13","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
4/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
6/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
8/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
9/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
10/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
11/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
12/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
13/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
15/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","9,565,920.77","45,942,216.54","9,565,920.77",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
16/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"9,565,920.77","10,612,996.03","9,565,920.77","10,612,996.03",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
17/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"10,612,996.03","25,358,860.37","10,612,996.03","25,358,860.37",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
18/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"25,358,860.37","34,524,974.08","25,358,860.37","34,524,974.08",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
23/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"34,524,974.08","16,899,699.37","34,524,974.08","16,899,699.37",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
24/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"16,899,699.37","16,899,699.37","16,899,699.37","16,899,699.37",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
25/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"16,899,699.37","18,150,592.87","16,899,699.37","18,150,592.87",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
26/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"18,150,592.87","17,924,448.60","18,150,592.87","17,924,448.60",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
27/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"17,924,448.60","17,924,448.60","17,924,448.60","17,924,448.60",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
29/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"17,924,448.60","12,875,020.76","17,924,448.60","12,875,020.76",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
30/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"12,875,020.76","13,576,629.26","12,875,020.76","13,590,271.08",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
2/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"13,576,629.26","8,515,233.33","13,590,271.08","8,515,233.33",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
3/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"8,515,233.33","8,528,396.46","8,515,233.33","8,528,396.46",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
4/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"8,528,396.46","8,528,396.46","8,528,396.46","8,528,396.46",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
6/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"8,528,396.46","3,528,290.75","8,528,396.46","3,528,290.75",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
7/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,528,290.75","3,528,290.75","3,528,290.75","3,528,290.75",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
8/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,528,290.75","3,528,290.75","3,528,290.75","3,528,290.75",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
9/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,528,290.75","3,528,290.75","3,528,290.75","3,528,290.75",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
10/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,528,290.75","3,528,290.75","3,528,290.75","3,528,290.75",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
11/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,528,290.75","3,528,290.75","3,528,290.75","3,528,290.75",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
14/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,528,290.75","2,965,602.32","3,528,290.75","2,965,602.32",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
15/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,965,602.32","2,533,623.79","2,965,602.32","2,533,623.79",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
16/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,533,623.79","2,533,623.79","2,533,623.79","2,533,623.79",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
17/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,533,623.79","2,533,623.79","2,533,623.79","2,533,623.79",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
18/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,533,623.79","2,533,623.79","2,533,623.79","2,533,623.79",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
20/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,533,623.79","2,533,623.79","2,533,623.79","2,533,623.79",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
21/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,533,623.79","1,533,586.05","2,533,623.79","1,533,586.05",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
22/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,533,586.05","1,533,586.05","1,533,586.05","1,533,586.05",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
23/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,533,586.05","1,533,586.05","1,533,586.05","1,533,586.05",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
24/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,533,586.05","1,302,689.31","1,533,586.05","1,302,689.31",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
25/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,302,689.31","1,302,689.31","1,302,689.31","1,302,689.31",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
27/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,302,689.31","1,302,689.31","1,302,689.31","1,302,689.31",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
28/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,302,689.31","1,302,689.31","1,302,689.31","1,302,689.31",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
29/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,302,689.31","1,302,689.31","1,302,689.31","1,302,689.31",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
30/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,302,689.31","1,302,689.31","1,302,689.31","1,302,689.31",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
31/5/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,302,689.31","6,479,358.60","1,302,689.31","6,481,017.72",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
1/6/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"6,479,358.60","6,479,358.60","6,481,017.72","6,481,017.72",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
3/6/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"6,479,358.60","6,481,017.72","6,481,017.72","6,481,017.72",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
4/6/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"6,481,017.72","6,481,017.72","6,481,017.72","6,481,017.72",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
5/6/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"6,481,017.72","6,481,017.72","6,481,017.72","6,481,017.72",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
6/6/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"6,481,017.72","6,481,017.72","6,481,017.72","6,481,017.72",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
8/6/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"6,481,017.72","6,481,017.72","6,481,017.72","6,481,017.72",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
10/6/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"6,481,017.72","5,091,754.03","6,481,017.72","5,091,754.03",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
11/6/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"5,091,754.03","5,091,754.03","5,091,754.03","5,091,754.03",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
